Country Name,Country Code,Indicator Name,Surface Area,
Latin America & Caribbean (excluding high income),LAC,Surface area (sq. km),19461731,
Lao PDR,LAO,Surface area (sq. km),236800,
Lebanon,LBN,Surface area (sq. km),10450,
Liberia,LBR,Surface area (sq. km),111370,
Libya,LBY,Surface area (sq. km),1759540,
St. Lucia,LCA,Surface area (sq. km),620,
Latin America & Caribbean,LCN,Surface area (sq. km),20425483.4,
Least developed countries: UN classification,LDC,Surface area (sq. km),20789297.5,
Low income,LIC,Surface area (sq. km),14471486,
Liechtenstein,LIE,Surface area (sq. km),160,
Sri Lanka,LKA,Surface area (sq. km),65610,
Lower middle income,LMC,Surface area (sq. km),23351530.5,
Low & middle income,LMY,Surface area (sq. km),97417860.5,
Lesotho,LSO,Surface area (sq. km),30360,
Late-demographic dividend,LTE,Surface area (sq. km),45769159,
Lithuania,LTU,Surface area (sq. km),65286,
Luxembourg,LUX,Surface area (sq. km),2590,
Latvia,LVA,Surface area (sq. km),64490,
"Macao SAR, China",MAC,Surface area (sq. km),30.3,
St. Martin (French part),MAF,Surface area (sq. km),54.4,
Morocco,MAR,Surface area (sq. km),446550,
Monaco,MCO,Surface area (sq. km),2,
Moldova,MDA,Surface area (sq. km),33850,
Madagascar,MDG,Surface area (sq. km),587295,
Maldives,MDV,Surface area (sq. km),300,
Middle East & North Africa,MEA,Surface area (sq. km),11370611,
Mexico,MEX,Surface area (sq. km),1964380,
Marshall Islands,MHL,Surface area (sq. km),180,
Middle income,MIC,Surface area (sq. km),83002984.5,
"Macedonia, FYR",MKD,Surface area (sq. km),25710,
Mali,MLI,Surface area (sq. km),1240190,
Malta,MLT,Surface area (sq. km),320,
Myanmar,MMR,Surface area (sq. km),676590,
Middle East & North Africa (excluding high income),MNA,Surface area (sq. km),8775230,
Montenegro,MNE,Surface area (sq. km),13810,
Mongolia,MNG,Surface area (sq. km),1564120,
Northern Mariana Islands,MNP,Surface area (sq. km),460,
Mozambique,MOZ,Surface area (sq. km),799380,
Mauritania,MRT,Surface area (sq. km),1030700,
Mauritius,MUS,Surface area (sq. km),2040,
Malawi,MWI,Surface area (sq. km),118480,
Malaysia,MYS,Surface area (sq. km),330800,
North America,NAC,Surface area (sq. km),19816230,
Namibia,NAM,Surface area (sq. km),824290,
New Caledonia,NCL,Surface area (sq. km),18580,
Niger,NER,Surface area (sq. km),1267000,
Nigeria,NGA,Surface area (sq. km),923770,
Nicaragua,NIC,Surface area (sq. km),130370,
Netherlands,NLD,Surface area (sq. km),41540,
Norway,NOR,Surface area (sq. km),385178,
Nepal,NPL,Surface area (sq. km),147180,
Nauru,NRU,Surface area (sq. km),20,
New Zealand,NZL,Surface area (sq. km),267710,
OECD members,OED,Surface area (sq. km),36263444,
Oman,OMN,Surface area (sq. km),309500,
Other small states,OSS,Surface area (sq. km),2072826,
Pakistan,PAK,Surface area (sq. km),796100,
Panama,PAN,Surface area (sq. km),75420,
Peru,PER,Surface area (sq. km),1285220,
Philippines,PHL,Surface area (sq. km),300000,
Palau,PLW,Surface area (sq. km),460,
Papua New Guinea,PNG,Surface area (sq. km),462840,
Poland,POL,Surface area (sq. km),312680,
Pre-demographic dividend,PRE,Surface area (sq. km),20685993.5,
Puerto Rico,PRI,Surface area (sq. km),8870,
"Korea, Dem. People’s Rep.",PRK,Surface area (sq. km),120540,
Portugal,PRT,Surface area (sq. km),92225,
Paraguay,PRY,Surface area (sq. km),406752,
West Bank and Gaza,PSE,Surface area (sq. km),6020,
Pacific island small states,PSS,Surface area (sq. km),65150,
Post-demographic dividend,PST,Surface area (sq. km),33298993.3,
French Polynesia,PYF,Surface area (sq. km),4000,
Qatar,QAT,Surface area (sq. km),11610,
Romania,ROU,Surface area (sq. km),238390,
Russian Federation,RUS,Surface area (sq. km),17098250,
Rwanda,RWA,Surface area (sq. km),26340,
South Asia,SAS,Surface area (sq. km),5135333,
Saudi Arabia,SAU,Surface area (sq. km),2149690,
Sudan,SDN,Surface area (sq. km),1879357.5,
Senegal,SEN,Surface area (sq. km),196710,
Singapore,SGP,Surface area (sq. km),719,
Solomon Islands,SLB,Surface area (sq. km),28900,
Sierra Leone,SLE,Surface area (sq. km),72300,
El Salvador,SLV,Surface area (sq. km),21040,
San Marino,SMR,Surface area (sq. km),60,
Somalia,SOM,Surface area (sq. km),637660,
Serbia,SRB,Surface area (sq. km),88360,
Sub-Saharan Africa (excluding high income),SSA,Surface area (sq. km),24290683.5,
